"pick_number","name","code","year","all_star","all_nba1","all_nba2","all_nba3"
41,"Elson,Francisco","elsonfr01",1999,0,0,0,0
42,"Bullock,Louis",NA,1999,0,0,0,0
43,"Nailon,Lee","nailole01",1999,0,0,0,0
44,"Washington,Tyrone",NA,1999,0,0,0,0
45,"Robertson,Ryan","roberry01",1999,0,0,0,0
46,"Koch,J.R.",NA,1999,0,0,0,0
47,"MacCulloch,Todd","maccuto01",1999,0,0,0,0
48,"Young,Galen",NA,1999,0,0,0,0
49,"Ketner,Lari","ketnela01",1999,0,0,0,0
50,"Hamilton,Venson","hamilve01",1999,0,0,0,0
51,"Smith,Antwain",NA,1999,0,0,0,0
52,"Bergersen,Roberto",NA,1999,0,0,0,0
53,"Buford,Rodney","buforro01",1999,0,0,0,0
54,"Levett,Melvin",NA,1999,0,0,0,0
55,"Clack,Kris",NA,1999,0,0,0,0
56,"Young,Tim","youngti01",1999,0,0,0,0
57,"Ginóbili,Manu","ginobma01",1999,2,0,0,2
58,"Lucas,Eddie",NA,1999,0,0,0,0
1,"Martin,Kenyon","martike01",2000,1,0,0,0
2,"Swift,Stromile","swiftst01",2000,0,0,0,0
3,"Miles,Darius","milesda01",2000,0,0,0,0
4,"Fizer,Marcus","fizerma01",2000,0,0,0,0
5,"Miller,Mike","millemi01",2000,0,0,0,0
6,"Johnson,DerMarr","johnsde03",2000,0,0,0,0
7,"Mihm,Chris","mihmch01",2000,0,0,0,0
8,"Crawford,Jamal","crawfja01",2000,0,0,0,0
9,"Przybilla,Joel","przybjo01",2000,0,0,0,0
10,"Dooling,Keyon","doolike01",2000,0,0,0,0
11,"Moïso,Jérôme","moisoje01",2000,0,0,0,0
12,"Thomas,Etan","thomaet01",2000,0,0,0,0
13,"Alexander,Courtney","alexaco02",2000,0,0,0,0
14,"Cleaves,Mateen","cleavma01",2000,0,0,0,0
15,"Collier,Jason","collija02",2000,0,0,0,0
16,"Türkoğlu,Hedo","turkohe01",2000,0,0,0,0
17,"Mason,Desmond","masonde01",2000,0,0,0,0
18,"Richardson,Quentin","richaqu01",2000,0,0,0,0
19,"Magloire,Jamaal","magloja01",2000,1,0,0,0
20,"Claxton,Speedy","claxtsp01",2000,0,0,0,0
21,"Peterson,Morris","petermo01",2000,0,0,0,0
22,"Harvey,Donnell","harvedo01",2000,0,0,0,0
23,"Stevenson,DeShawn","stevede01",2000,0,0,0,0
24,"Bagarić,Dalibor","bagarda01",2000,0,0,0,0
25,"Tsakalidis,Jake","tsakaja01",2000,0,0,0,0
26,"N'Diaye,Mamadou","ndiayma02",2000,0,0,0,0
27,"Brezec,Primož","brezepr01",2000,0,0,0,0
28,"Barkley,Erick","barkler01",2000,0,0,0,0
29,"Madsen,Mark","madsema01",2000,0,0,0,0
30,"Jarić,Marko","jaricma01",2000,0,0,0,0
31,"Langhi,Dan","langhda01",2000,0,0,0,0
32,"Guyton,A.J.","guytoaj01",2000,0,0,0,0
33,"Voskuhl,Jake","voskuja01",2000,0,0,0,0
34,"El-Amin,Khalid","elamikh01",2000,0,0,0,0
35,"Smith,Mike","smithmi03",2000,0,0,0,0
36,"Samake,Soumaila","samakso01",2000,0,0,0,0
37,"House,Eddie","houseed01",2000,0,0,0,0
38,"Nájera,Eduardo","najered01",2000,0,0,0,0
39,"Postell,Lavor","postela01",2000,0,0,0,0
